subword,occurence_count,document_count
konstruktsiooni-,1,1
kontroll,1,1
kontrolöri,1,1
koodeksi,1,1
koond,1,1
kooperatiivide,1,1
koormiste,1,1
kordade,1,1
kordse,1,1
korraks,1,1
korraldus,1,1
korras,1,1
korterite,1,1
krimineerimise,1,1
krimineerimist,1,1
krunt,1,1
kujundamise,1,1
kujutiste,1,1
kultuur,1,1
kulude,1,1
kurja,1,1
kuulekuse,1,1
kuulutamise,1,1
kuuluvus-,1,1
käe,1,1
käitumis,1,1
kõige,1,1
küber,1,1
külade,1,1
küsimuste,1,1
laadungi,1,1
lahutuse,1,1
laia,1,1
lao,1,1
lapse,1,1
lepingule,1,1
lepingutega,1,1
lepingutele,1,1
ligi,1,1
liigse,1,1
liiklust,1,1
loend,1,1
loenduse,1,1
loode,1,1
loterii,1,1
lülituse,1,1
mahuliste,1,1
majandamise,1,1
maksumusega,1,1
massi,1,1
matuse,1,1
meelse,1,1
meeste,1,1
meetri,1,1
menetluses,1,1
migratsiooni,1,1
miinide,1,1
mineku,1,1
muudatus,1,1
märg,1,1
märgil,1,1
märgu,1,1
määra,1,1
mõistetud,1,1
naaberlikkuse,1,1
nais,1,1
naiste,1,1
nakkus,1,1
navigatsiooni,1,1
noorte,1,1
nõudmis,1,1
nõus,1,1
obroki,1,1
ohtlikke,1,1
ohvritele,1,1
oleku-,1,1
omandis,1,1
ooperi,1,1
operatiiv,1,1
organisatsioonide,1,1
organisatsiooniga,1,1
organiseerimise,1,1
otsingute,1,1
otsuste,1,1
paigutamise,1,1
paikade,1,1
paljundus,1,1
pant,1,1
parv,1,1
perioodil,1,1
piirist,1,1
plahvatus,1,1
pommi,1,1
pool,1,1
pooletu,1,1
poolsest,1,1
poolsete,1,1
preemiate,1,1
prostitutsiooni,1,1
protokolliga,1,1
puhke,1,1
puhkuse,1,1
punkri,1,1
päevade,1,1
pääsetavuse,1,1
püügist,1,1
püüki,1,1
raamistiku,1,1
radio,1,1
rahvuse,1,1
rahvuste,1,1
rask,1,1
regulaarse,1,1
repressioonide,1,1
reservi,1,1
ressursside,1,1
režiimi,1,1
riigid,1,1
riigistamise,1,1
rikkumiste,1,1
ringlusse,1,1
ruumi,1,1
ränd,1,1
rääkimiste,1,1
röövi,1,1
saaduste,1,1
satelliit,1,1
seal,1,1
seisude,1,1
selgitus,1,1
soodus,1,1
sortide,1,1
staabi,1,1
stipendiumide,1,1
sugustes,1,1
suure,1,1
suvila,1,1
säilitus,1,1
sätete,1,1
sätteid,1,1
sõiduki,1,1
süva,1,1
süü,1,1
süüdi,1,1
süüme,1,1
taas,1,1
taastuv,1,1
talu,1,1
taotlusele,1,1
tariifide,1,1
tariifsete,1,1
tarne,1,1
tarvitamise,1,1
tasu,1,1
tasusid,1,1
teaduse,1,1
teatri,1,1
tegevus,1,1
tegijate,1,1
tegude,1,1
tehingutes,1,1
tehnika,1,1
teist,1,1
tera,1,1
terrorismi,1,1
tervik,1,1
testamendi,1,1
tingimustel,1,1
toetus,1,1
toksiin,1,1
toodetega,1,1
toote,1,1
tootja,1,1
tootjat,1,1
tootmis,1,1
tropo,1,1
tugi,1,1
tunnistuste,1,1
tunnus,1,1
turvalisus,1,1
turvalisuse,1,1
täide,1,1
täitmise,1,1
tõkete,1,1
tõste,1,1
tõu,1,1
tööle,1,1
töötajate,1,1
töötamise,1,1
ulatusliku,1,1
uniooni,1,1
uurimist,1,1
vaatlus,1,1
vabastuse,1,1
vaheline,1,1
vaheliseks,1,1
vahelises,1,1
vahelist,1,1
valdkonnas,1,1
valdusesse,1,1
vanadus,1,1
vanema,1,1
vangi,1,1
vastaste,1,1
vastasuse,1,1
vastavus,1,1
vastutusele,1,1
veoki,1,1
veol,1,1
vere,1,1
viibimise,1,1
viimisest,1,1
viisa,1,1
viisade,1,1
viisilise,1,1
vilja,1,1
voliniku,1,1
vormistusel,1,1
vrakkide,1,1
välise,1,1
väljas,1,1
väärikuse,1,1
väärse,1,1
väärsuse,1,1
väärtuse,1,1
võetava,1,1
võrgus,1,1
võtjate,1,1
võtlus,1,1
võtte,1,1
võtu,1,1
võtva,1,1
õiguslikes,1,1
õppuse,1,1
öö,1,1
ühikute,1,1
ühiskonna,1,1
ühte,1,1
üksuse,1,1
üüri,1,1
