is_sublemma,lemma,occurence_count,document_count
False,arvestamine,190.0,189
True,gümnaasium,190.0,189
True,vorm,189.5,284
False,protokoll,188.5,285
False,tõkestamine,187.0,183
False,kanep,187.0,125
True,nurm,186.0,182
False,üksus,186.0,178
True,ohutus,185.5,235
False,osaline,185.0,188
True,asemekulu,185.0,185
False,eluasemekulu,185.0,185
False,kandmine,185.0,184
True,lõuna,185.0,178
False,projekt,185.0,174
False,rahvamaja,184.0,184
False,kaevetöö,184.0,183
True,relv,184.0,150
True,heit,183.0,178
False,rahaline,182.0,339
True,hiid,182.0,122
False,hiiumaa,181.5,121
False,arengustrateegia,181.0,179
False,arvutamine,181.0,177
False,territoorium,181.0,177
False,alevik,180.0,179
True,riigilõiv,179.0,179
False,amet,179.0,176
True,toode,178.0,183
True,lõivuseadus,178.0,178
False,riigilõivuseadus,178.0,178
False,tunnistamine,178.0,175
True,tagune,177.0,176
True,kutse,176.0,307
True,korruptsioon,176.0,175
False,korruptsioonivastane,176.0,175
False,asuv,176.0,174
False,tähtaeg,176.0,174
False,Kuusalu,176.0,170
False,koolilõuna,176.0,169
True,registrima,174.5,329
True,kohus,174.0,318
True,käitlus,174.0,174
False,tegevuskulu,174.0,170
True,kuts,173.0,306
True,kaitseseadus,173.0,173
False,kinnisvara,173.0,173
False,teave,173.0,169
False,andma,172.3,432
True,arendus,172.0,155
False,tänavanimi,171.0,224
True,rand,171.0,170
False,vabastamine,171.0,167
True,pere,171.0,164
False,kunda,171.0,114
False,paldiski,171.0,114
True,järgne,170.5,171
True,kohajärgne,170.0,170
False,redaktsioon,170.0,170
True,ehitus,169.7,450
False,pedagoog,169.0,169
True,ametnik,169.0,155
True,väär,168.5,175
True,kohtuma,168.0,314
False,noortekeskus,168.0,168
True,elukoht,168.0,167
False,katmine,168.0,167
False,üldhariduskool,168.0,166
False,saamine,167.5,169
True,püü,167.0,231
False,osavõtt,166.0,166
False,ühtne,166.0,164
True,and,165.5,300
False,Haljala,165.0,165
False,elukohajärgne,165.0,165
False,vajalik,165.0,165
False,õppeaasta,165.0,165
False,keskus,165.0,162
False,kantav,165.0,159
False,vastavus,165.0,157
True,materjal,165.0,139
True,varustus,164.0,163
False,Kuressaare,164.0,155
True,märk,163.8,198
False,tapma,163.2,195
True,krediit,163.0,148
False,tapp,162.5,193
False,Sillamäe,162.0,150
True,hoolekandeline,161.0,161
True,kandeline,161.0,161
False,sotsiaalhoolekandeline,161.0,161
False,antav,160.5,163
True,Haap,160.0,158
True,haap,160.0,158
False,õppekava,160.0,152
False,esimees,160.0,123
True,ehitud,159.7,442
True,ehituma,159.7,442
False,Jõgeva,159.5,317
True,transport,159.5,304
True,hooldusteenus,159.0,155
False,tegevuskava,159.0,154
False,Raasiku,158.0,158
True,teenindus,158.0,158
False,Antsla,158.0,155
True,korraeeskiri,158.0,155
True,kaugküte,158.0,143
False,välisriik,158.0,133
False,otepää,157.5,103
False,olema,157.2,170
False,rahalist,157.0,314
False,muu,157.0,268
True,tingimus,157.0,154
False,Maardu,157.0,153
False,palgamäär,156.0,155
False,müügipilet,156.0,148
True,lähetus,156.0,147
True,kogus,155.8,156
False,võetav,155.5,156
True,mõis,154.0,154
False,paigaldamine,154.0,154
False,Lääne-Nigula,154.0,152
False,Rõuge,154.0,152
True,järelevalve,154.0,130
False,Loksa,153.0,152
False,tormama,153.0,102
True,transportima,152.5,297
False,Mustvee,152.0,152
True,väärtegu,152.0,151
True,muuseum,152.0,150
False,Lüganuse,152.0,147
False,ühine,151.5,184
False,Pärnu,150.5,287
True,toll,150.0,239
True,tollima,150.0,239
True,programm,150.0,168
True,finantseerimine,150.0,150
True,koostöö,150.0,143
False,valik,149.0,149
False,tervishoiuteenus,149.0,144
False,kontrollimine,149.0,143
False,Võru,148.5,292
False,äravedu,148.0,148
False,maamaks,148.0,133
False,koostöö,147.0,144
True,teomenetlus,146.0,146
False,alkohol,146.0,143
True,kuning,146.0,117
False,kohtkäitlus,145.0,145
False,investeering,145.0,144
False,heakorraeeskiri,145.0,142
False,vastastikune,145.0,142
True,noorsugu,145.0,137
False,kodu,144.0,144
True,kunst,144.0,143
True,kriminaal,144.0,142
False,liikluspind,144.0,142
False,kehtetu,144.0,141
False,krediidiasutus,144.0,131
True,linnavoli,144.0,130
False,linnavolikogu,144.0,130
False,veevarustus,143.0,143
False,väärteomenetlus,143.0,143
True,soodustus,143.0,142
True,peipsi,143.0,98
False,inimene,142.0,142
False,üldplaneering,142.0,141
True,tsiviil,142.0,138
True,koolitus,142.0,119
False,maksukorraldus,141.0,141
False,säilitamine,141.0,132
False,peipsiääre,141.0,94
False,käitlemine,140.0,132
False,avaldus,140.0,118
True,lend,139.5,121
False,värbamine,139.0,139
False,sisu,139.0,136
True,viisa,139.0,132
False,liik,139.0,131
True,au,139.0,129
True,veterinaar,139.0,128
False,sadam,138.0,199
False,Viru-Nigula,138.0,137
False,vältimine,138.0,135
False,teadus,138.0,123
True,pool,137.5,144
False,riigihange,137.0,134
True,raie,137.0,133
True,kütus,137.0,119
False,Saue,136.5,262
True,teehoid,136.0,135
False,ärajuhtimine,136.0,135
True,poliitika,136.0,134
False,sügav,135.0,135
False,muudatus,135.0,132
True,preemia,135.0,132
False,välisabi,135.0,132
False,kuningriik,135.0,111
False,palamuse,135.0,90
True,müük,134.5,242
False,kütus,134.0,133
True,transporditeenus,134.0,132
False,liikmesriik,134.0,128
True,teadus,134.0,120
False,aine,134.0,103
False,haanja,133.5,86
False,Rapla,133.0,261
False,siga,133.0,254
False,kaitsevägi,133.0,133
False,muuseum,133.0,132
False,Anija,133.0,131
False,teavitamine,133.0,130
True,aruanne,133.0,127
True,järv,132.0,131
False,arvestus,132.0,130
True,kaubandus,132.0,129
True,võrk,132.0,123
False,ehitusseadustik,132.0,114
True,käive,131.5,126
True,rakendus,131.0,246
True,võte,131.0,148
True,valdkond,131.0,131
False,arv,131.0,129
True,hoiukava,131.0,129
False,õigus,131.0,128
True,tagasi,131.0,102
False,läti,130.5,85
True,tulumaks,130.0,130
True,meene,129.0,217
False,sise,129.0,129
False,hinnakiri,129.0,128
False,sõiduauto,129.0,125
False,teenistus,128.5,131
False,Rakvere,128.0,248
False,kaugküttepiirkond,128.0,128
False,keskkool,128.0,128
True,küttepiirkond,128.0,128
True,eksam,128.0,79
False,nõbu,127.5,150
False,nõgu,127.5,150
True,andlus,127.0,127
False,teeninduspiirkond,127.0,127
False,sotsiaaltransporditeenus,127.0,125
True,sotsiaaltransport,127.0,125
False,tagamine,127.0,124
False,maaelu,127.0,96
False,antu,126.3,379
False,antud,126.3,379
False,saatmine,126.0,126
False,statistiline,126.0,125
False,nimistu,126.0,124
False,organisatsioon,126.0,104
True,riigiee,125.5,244
True,riigieel,125.5,244
True,müüma,125.5,233
False,teehoiukava,125.0,124
False,Luunja,125.0,123
True,rakenduma,124.0,241
False,sildfinantseerimine,124.0,124
False,soojusmajandus,124.0,124
False,põhikiri,124.0,122
True,andmed,124.0,119
True,sootöö,124.0,119
False,tagastamine,124.0,118
True,lasteasutus,123.0,123
False,tulumaksuseadus,123.0,123
False,ametiauto,123.0,122
False,aruandlus,122.0,122
False,heakord,122.0,122
False,vorminõue,122.0,122
True,väelane,122.0,116
False,tunnistus,122.0,106
True,planeerim,122.0,103
False,Paide,121.5,241
True,olukord,121.0,104
True,must,120.5,240
False,Jõhvi,120.5,237
True,nõukogu,120.0,117
False,eratee,120.0,114
True,raud,120.0,98
False,ohtlik,119.0,105
True,küte,118.5,202
False,ühendus,118.5,96
False,tarvastu,118.5,79
True,kohtumenetlus,118.0,118
True,korraldamine,118.0,118
False,ümberkorraldamine,118.0,118
True,akt,118.0,115
False,ehitis,118.0,112
False,kaitseliit,118.0,112
True,tase,118.0,99
False,pass,117.5,182
False,Alutaguse,117.0,117
True,kõrg,117.0,106
True,leht,117.0,100
True,maalane,117.0,99
False,välismaalane,117.0,99
False,sealt,116.5,233
False,Põlva,116.5,227
True,kütt,116.5,201
False,teenistuslähetus,116.0,116
True,sotsiaalelu,116.0,113
True,kvaliteet,116.0,100
True,gaas,116.0,95
True,kaev,115.5,205
False,vallavar,115.0,230
False,vallavara,115.0,230
False,Kehtna,115.0,115
True,kassa,115.0,113
True,perekond,115.0,103
False,kallas,114.7,88
False,Kose,114.5,222
False,protokollima,114.5,219
False,aeg,114.5,166
True,kohustus,114.5,118
False,Valga,114.0,224
False,sõidusoodustus,114.0,113
True,anime,114.0,112
False,sotsiaaleluruum,114.0,111
False,Tabivere,113.0,111
True,osalus,113.0,111
False,pensionikindlustus,113.0,88
False,tegema,112.5,234
True,väike,112.5,98
False,Kohila,112.0,108
True,investeering,112.0,107
False,heitkogus,112.0,106
True,loodu,111.3,322
True,loodud,111.3,322
True,loodus,111.3,322
False,juht,111.0,152
False,mittetulunduslik,111.0,111
False,osutatav,111.0,111
False,tegevustoetus,111.0,111
True,tulunduslik,111.0,111
True,kaart,111.0,89
True,toetuma,110.5,215
True,alg,110.5,176
False,kohustus,110.5,106
True,kitsendus,110.0,110
False,periood,110.0,110
False,ravim,110.0,96
True,saaste,110.0,90
False,ulatus,109.0,187
True,Järva,109.0,109
True,maksustamine,109.0,106
True,topelt,109.0,106
False,topeltmaksustamine,109.0,106
False,ettevõte,109.0,94
True,meditsiin,109.0,70
False,Elva,108.0,195
False,Järva,108.0,108
False,esimene,108.0,108
False,tubakas,108.0,108
False,Iisaku,108.0,107
True,jääk,107.8,307
True,väline,107.5,112
False,sätestama,107.3,322
False,sätestatu,107.3,322
False,sätestatud,107.3,322
False,elektriaktsiis,107.0,107
False,käsutamine,107.0,107
False,väljaspool,107.0,106
False,käsitlev,107.0,105
False,sulgemine,107.0,105
True,võtlus,107.0,104
True,detail,107.0,102
True,kalapüük,107.0,91
False,planeerimisseadus,107.0,88
True,soo,106.5,203
True,sugu,106.5,203
False,müüma,106.3,71
False,tasustamine,106.0,106
False,suunamine,106.0,104
False,koolitus,106.0,98
True,suur,106.0,88
False,peipsi,106.0,70
True,selts,105.8,287
False,seotu,105.7,308
False,seotud,105.7,308
False,siduma,105.7,308
True,mina,105.5,211
True,vormima,105.5,202
False,COVID-19,105.0,105
True,noortevoli,105.0,105
False,noortevolikogu,105.0,105
True,tööturg,105.0,104
False,raske,104.8,141
False,ametisõit,104.0,104
False,lapsevanem,104.0,104
True,Alats,104.0,103
False,kiil,104.0,102
False,väärtus,104.0,100
False,stipendium,104.0,98
True,parandus,104.0,85
False,mill,103.8,189
False,mis,103.8,189
True,makse,103.5,159
False,värska,103.5,68
False,kasutus,103.0,149
False,akvatoorium,103.0,103
False,rakendusplaan,103.0,103
False,Alatskivi,103.0,102
