lemma,korrektne_lemma
seemnektegooria,seemnektegooria
seemnektegooriad,seemnektegooriad
seisvunu,seisvunu
seisvunud,seisvunud
sekkum,sekkum
sekkumi,sekkumi
sekkumis,sekkumis
seksuaa,seksuaa
seksuaal,seksuaal
selaginell,selaginell
selaginelli,selaginelli
shanghai,shanghai
sidum,sidum
sidumi,sidumi
sidumis,sidumis
sildum,sildum
sildumi,sildumi
sildumis,sildumis
siloladustam,siloladustam
siloladustami,siloladustami
siseee,siseee
siseees,siseees
sisenem,sisenem
sisenem,sisenem
sisenemi,sisenemi
sisenemi,sisenemi
sissenõudm,sissenõudm
sissenõudmi,sissenõudmi
skaneerim,skaneerim
slip,slip
slipi,slipi
slipima,slipima
slipp,slipp
slippima,slippima
solventsus,solventsus
solventsusmarginaal,solventsusmarginaal
sooduspär,sooduspär
sooduspäri,sooduspäri
soojaett,soojaett
soojaette,soojaette
soous,soous
soousenergia,soousenergia
sotsiaalühis,sotsiaalühis
spetsialiseerum,spetsialiseerum
spetsialiseerum,spetsialiseerum
spongiformne,spongiformne
statlistiline,statlistiline
stressitest,stressitest
stressitesti,stressitesti
struktruur,struktruur
struktureerim,struktureerim
strutktuur,strutktuur
strutktuurima,strutktuurima
suhtlem,suhtlem
suhtlemi,suhtlemi
suhtlemis,suhtlemis
sukeldum,sukeldum
sukeldumi,sukeldumi
suunam,suunam
suunami,suunami
suunamis,suunamis
suurette,suurette
säilitam,säilitam
säilitami,säilitami
sälitamine,sälitamine
sõidusoodune,sõidusoodune
sõidusooduste,sõidusooduste
sõtmine,sõtmine
sõtmis,sõtmis
sõtmise,sõtmise
sügavald,sügavald
sünniandm,sünniandm
sünniandme,sünniandme
taaskasutam,taaskasutam
taaskasutam,taaskasutam
taaskasutami,taaskasutami
taaskasutami,taaskasutami
taassiss,taassiss
taastam,taastam
taastami,taastami
taastamis,taastamis
taganem,taganem
taganemi,taganemi
tagasivõtm,tagasivõtm
tagasivõtmi,tagasivõtmi
tagastam,tagastam
tagastami,tagastami
taksoveoee,taksoveoee
taksoveoees,taksoveoees
tapm,tapm
tapmi,tapmi
tapmima,tapmima
tapmis,tapmis
tarbeka,tarbeka
tarbekas,tarbekas
tasemetesti,tasemetesti
tavajäätme,tavajäätme
teatam,teatam
teatami,teatami
teatamis,teatamis
teendindus,teendindus
teendindusmärk,teendindusmärk
teenindusee,teenindusee
teenindusees,teenindusees
teenindusett,teenindusett
teenistusjäre,teenistusjäre
teenit,teenit
teenitusjas,teenitusjas
teenituslähetu,teenituslähetu
teenituslähetus,teenituslähetus
tehnokasutusee,tehnokasutusee
tehnokasutusees,tehnokasutusees
tehnoü,tehnoü
tehnoül,tehnoül
telkim,telkim
telkimi,telkimi
telkimis,telkimis
tellim,tellim
tellimi,tellimi
tellimis,tellimis
ter,ter
terfenüül,terfenüül
territoorim,territoorim
territoorimi,territoorimi
territoriaa,territoriaa
territoriaal,territoriaal
terviseedendus,terviseedendus
toimetam,toimetam
toimetami,toimetami
toitlustusett,toitlustusett
tollideklratsioon,tollideklratsioon
tollideklratsioonima,tollideklratsioonima
tolliee,tolliee
tolliees,tolliees
tollijäre,tollijäre
tootm,tootm
tootmi,tootmi
tootmima,tootmima
tootmis,tootmis
topo-geodeetiline,topo-geodeetiline
trans,trans
trihhinelloos,trihhinelloos
trihhinelloosima,trihhinelloosima
trikaltsium,trikaltsium
trikaltsiumfosfaat,trikaltsiumfosfaat
tropo,tropo
tuberkuloosiandm,tuberkuloosiandm
tuberkuloosiandme,tuberkuloosiandme
tulenevae,tulenevae
tuleohtusülevaatu,tuleohtusülevaatu
tuleohtusülevaatus,tuleohtusülevaatus
tundm,tundm
tundmi,tundmi
tundmima,tundmima
tundmis,tundmis
tunnustam,tunnustam
tunnustami,tunnustami
turismier,turismier
turismieri,turismieri
turismierima,turismierima
turismiett,turismiett
turismiette,turismiette
turujäre,turujäre
turvaü,turvaü
turvaül,turvaül
tutvustam,tutvustam
tutvustami,tutvustami
täitmne,täitmne
täitmse,täitmse
tõendam,tõendam
tõendami,tõendami
tõendamis,tõendamis
tõhustam,tõhustam
tõhustami,tõhustami
tõuaretusee,tõuaretusee
tõuaretusees,tõuaretusees
tööotsim,tööotsim
tööotsimi,tööotsimi
tööstusett,tööstusett
tühjendam,tühjendam
tühjendami,tühjendami
uimastam,uimastam
uimastami,uimastami
ulukiküttim,ulukiküttim
ulukiküttimi,ulukiküttimi
uuend,uuend
uurim,uurim
uurimi,uurimi
uurimis,uurimis
vabastam,vabastam
vabastami,vabastami
vahistam,vahistam
vahistami,vahistami
vajendite,vajendite
valentdoos,valentdoos
valg,valg
valitsemistatu,valitsemistatu
varjum,varjum
varjumi,varjumi
varjumis,varjumis
varustam,varustam
varustami,varustami
vastavushindam,vastavushindam
vastavushindami,vastavushindami
veoee,veoee
veoees,veoees
vere-Põltsa,vere-Põltsa
vereü,vereü
vereül,vereül
viibisaja,viibisaja
viisaee,viisaee
viisaees,viisaees
virgestu,virgestu
virgestud,virgestud
virgestuma,virgestuma
virgestus,virgestus
virtuaa,virtuaa
virtuaal,virtuaal
volitam,volitam
volitami,volitami
voronka,voronka
voronkas,voronkas
väetam,väetam
väetami,väetami
väetamis,väetamis
vähiandm,vähiandm
vähiandme,vähiandme
väl,väl
välima,välima
välis,välis
välissuhtlem,välissuhtlem
välissuhtlemi,välissuhtlemi
väljaandm,väljaandm
väljaandmi,väljaandmi
väljaandmis,väljaandmis
väljaarvam,väljaarvam
väljaarvami,väljaarvami
väljakirjutam,väljakirjutam
väljakirjutami,väljakirjutami
väljastatavaregistreerim,väljastatavaregistreerim
väljastatavaregistreerimistunnistus,väljastatavaregistreerimistunnistus
väljum,väljum
väljumi,väljumi
väljumis,väljumis
vääveld,vääveld
vääveldi,vääveldi
väävelt,väävelt
väävlema,väävlema
võistlem,võistlem
võistlemi,võistlemi
võistlemis,võistlemis
võrguett,võrguett
võrguette,võrguette
võtlikkus,võtlikkus
võtlusalane,võtlusalane
võtlusalas,võtlusalas
võtlusalaste,võtlusalaste
võtlusinkubaator,võtlusinkubaator
võtlusinkubatsiooniteenus,võtlusinkubatsiooniteenus
võtluskomisjon,võtluskomisjon
võtluslaen,võtluslaen
võtlustulu,võtlustulu
võtlusvorm,võtlusvorm
võtlusõpe,võtlusõpe
võtm,võtm
võtmi,võtmi
võtmima,võtmima
võtmis,võtmis
zoonoosne,zoonoosne
äkk,äkk
ärier,ärier
ärieri,ärieri
ärierima,ärierima
õhtukesk,õhtukesk
õmbluser,õmbluser
õmbluseri,õmbluseri
õpilastekoolikohustus,õpilastekoolikohustus
õppenõustam,õppenõustam
õppenõustami,õppenõustami
ööbim,ööbim
ööbimi,ööbimi
ööbimis,ööbimis
üldhooldam,üldhooldam
üldhooldami,üldhooldami
üldkesk,üldkesk
ülikerg,ülikerg
ümberkruntim,ümberkruntim
ümberkruntimi,ümberkruntimi
ümberlaadim,ümberlaadim
ümberlaadimi,ümberlaadimi
